"pelicula_id_temp";"distribuidora_id";"fuente"
0;373;"sin_dato"
1;422;"ficha_icaa"
2;373;"sin_dato"
3;373;"sin_dato"
4;238;"ficha_icaa"
5;94;"ficha_icaa"
6;370;"ficha_icaa"
7;373;"sin_dato"
8;369;"ficha_icaa"
9;370;"ficha_icaa"
10;422;"ficha_icaa"
10;434;"ficha_icaa"
10;56;"ficha_icaa"
11;423;"ficha_icaa"
12;422;"ficha_icaa"
12;56;"ficha_icaa"
13;106;"ficha_icaa"
14;83;"ficha_icaa"
14;62;"ficha_icaa"
15;83;"ficha_icaa"
16;104;"ficha_icaa"
17;122;"ficha_icaa"
18;373;"sin_dato"
19;83;"ficha_icaa"
20;324;"ficha_icaa"
21;373;"sin_dato"
22;330;"ficha_icaa"
23;329;"ficha_icaa"
24;186;"ficha_icaa"
25;370;"ficha_icaa"
26;449;"ficha_icaa"
27;8;"ficha_icaa"
28;373;"sin_dato"
29;62;"ficha_icaa"
30;84;"ficha_icaa"
31;185;"ficha_icaa"
32;167;"ficha_icaa"
33;72;"ficha_icaa"
34;62;"ficha_icaa"
34;288;"ficha_icaa"
35;309;"ficha_icaa"
36;83;"ficha_icaa"
37;152;"ficha_icaa"
38;72;"ficha_icaa"
39;20;"ficha_icaa"
40;427;"ficha_icaa"
41;72;"ficha_icaa"
42;56;"ficha_icaa"
43;64;"ficha_icaa"
44;250;"ficha_icaa"
44;56;"ficha_icaa"
45;441;"ficha_icaa"
46;373;"sin_dato"
47;62;"ficha_icaa"
48;72;"ficha_icaa"
49;228;"ficha_icaa"
50;62;"ficha_icaa"
51;26;"ficha_icaa"
52;32;"ficha_icaa"
53;228;"ficha_icaa"
54;72;"ficha_icaa"
55;370;"ficha_icaa"
56;373;"sin_dato"
57;1;"ficha_icaa"
58;62;"ficha_icaa"
59;144;"ficha_icaa"
60;82;"ficha_icaa"
61;62;"ficha_icaa"
62;282;"ficha_icaa"
63;62;"ficha_icaa"
64;373;"sin_dato"
65;83;"ficha_icaa"
66;64;"ficha_icaa"
67;212;"ficha_icaa"
68;373;"sin_dato"
69;229;"ficha_icaa"
69;56;"ficha_icaa"
70;83;"ficha_icaa"
71;56;"ficha_icaa"
72;442;"ficha_icaa"
73;83;"ficha_icaa"
74;78;"ficha_icaa"
75;143;"ficha_icaa"
